Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
1,1,1,1,1
2,2,2,2,2
3,3,3,3,3
4,4,4,4,4
5,5,5,5,5
6,6,6,6,6
7,7,7,7,7
8,8,8,8,8
9,9,9,9,9
10,10,10,10,10
11,11,11,1,1
12,12,12,2,2
13,13,13,3,3
14,14,14,4,4
15,15,15,5,5
16,16,16,6,6
17,17,17,7,7
18,18,18,8,8
19,19,19,9,9
20,20,20,10,10
21,21,21,1,1
22,22,22,2,2
23,23,23,3,3
24,24,24,4,4
25,25,25,5,5
26,26,26,6,6
27,27,27,7,7
28,28,28,8,8
29,29,29,9,9
30,30,30,10,10
31,31,31,1,1
32,32,32,2,2
33,33,33,3,3
34,34,34,4,4
35,35,35,5,5
36,36,36,6,6
37,37,37,7,7
38,38,38,8,8
39,39,39,9,9
40,40,40,10,10
41,41,41,1,1
42,42,42,2,2
43,43,43,3,3
44,44,44,4,4
45,45,45,5,5
46,46,46,6,6
47,47,47,7,7
48,48,48,8,8
49,49,49,9,9
50,50,50,10,10
51,51,51,1,1
52,52,52,2,2
53,53,53,3,3
54,54,54,4,4
55,55,55,5,5
56,56,56,6,6
57,57,57,7,7
58,58,58,8,8
59,59,59,9,9
60,60,60,10,10
61,61,61,1,1
62,62,62,2,2
63,63,63,3,3
64,64,64,4,4
65,65,65,5,5
66,66,66,6,6
67,67,67,7,7
68,68,68,8,8
69,69,69,9,9
70,70,70,10,10
71,71,71,1,1
72,72,72,2,2
73,73,73,3,3
74,74,74,4,4
75,75,75,5,5
76,76,76,6,6
77,77,77,7,7
78,78,78,8,8
79,79,79,9,9
80,80,80,10,10
81,81,81,1,1
82,82,82,2,2
83,83,83,3,3
84,84,84,4,4
85,85,85,5,5
86,86,86,6,6
87,87,87,7,7
88,88,88,8,8
89,89,89,9,9
90,90,90,10,10
91,91,91,1,1
92,92,92,2,2
93,93,93,3,3
94,94,94,4,4
95,95,95,5,5
96,96,96,6,6
97,97,97,7,7
98,98,98,8,8
99,99,99,9,9
100,100,100,10,10
101,1,1,1,1
102,2,2,2,2
103,3,3,3,3
104,4,4,4,4
105,5,5,5,5
106,6,6,6,6
107,7,7,7,7
108,8,8,8,8
109,9,9,9,9
110,10,10,10,10
111,11,11,1,1
112,12,12,2,2
113,13,13,3,3
114,14,14,4,4
115,15,15,5,5
116,16,16,6,6
117,17,17,7,7
118,18,18,8,8
119,19,19,9,9
120,20,20,10,10
121,21,21,1,1
122,22,22,2,2
123,23,23,3,3
124,24,24,4,4
125,25,25,5,5
126,26,26,6,6
127,27,27,7,7
128,28,28,8,8
129,29,29,9,9
130,30,30,10,10
131,31,31,1,1
132,32,32,2,2
133,33,33,3,3
134,34,34,4,4
135,35,35,5,5
136,36,36,6,6
137,37,37,7,7
138,38,38,8,8
139,39,39,9,9
140,40,40,10,10
141,41,41,1,1
142,42,42,2,2
143,43,43,3,3
144,44,44,4,4
145,45,45,5,5
146,46,46,6,6
147,47,47,7,7
148,48,48,8,8
149,49,49,9,9
150,50,50,10,10
151,51,51,1,1
152,52,52,2,2
153,53,53,3,3
154,54,54,4,4
155,55,55,5,5
156,56,56,6,6
157,57,57,7,7
158,58,58,8,8
159,59,59,9,9
160,60,60,10,10
161,61,61,1,1
162,62,62,2,2
163,63,63,3,3
164,64,64,4,4
165,65,65,5,5
166,66,66,6,6
167,67,67,7,7
168,68,68,8,8
169,69,69,9,9
170,70,70,10,10
171,71,71,1,1
172,72,72,2,2
173,73,73,3,3
174,74,74,4,4
175,75,75,5,5
176,76,76,6,6
177,77,77,7,7
178,78,78,8,8
179,79,79,9,9
180,80,80,10,10
181,81,81,1,1
182,82,82,2,2
183,83,83,3,3
184,84,84,4,4
185,85,85,5,5
186,86,86,6,6
187,87,87,7,7
188,88,88,8,8
189,89,89,9,9
190,90,90,10,10
191,91,91,1,1
192,92,92,2,2
193,93,93,3,3
194,94,94,4,4
195,95,95,5,5
196,96,96,6,6
197,97,97,7,7
198,98,98,8,8
199,99,99,9,9
200,100,100,10,10
201,1,1,1,1
202,2,2,2,2
203,3,3,3,3
204,4,4,4,4
205,5,5,5,5
206,6,6,6,6
207,7,7,7,7
208,8,8,8,8
209,9,9,9,9
210,10,10,10,10
211,11,11,1,1
212,12,12,2,2
213,13,13,3,3
214,14,14,4,4
215,15,15,5,5
216,16,16,6,6
217,17,17,7,7
218,18,18,8,8
219,19,19,9,9
220,20,20,10,10
221,21,21,1,1
222,22,22,2,2
223,23,23,3,3
224,24,24,4,4
225,25,25,5,5
226,26,26,6,6
227,27,27,7,7
228,28,28,8,8
229,29,29,9,9
230,30,30,10,10
231,31,31,1,1
232,32,32,2,2
233,33,33,3,3
234,34,34,4,4
235,35,35,5,5
236,36,36,6,6
237,37,37,7,7
238,38,38,8,8
239,39,39,9,9
240,40,40,10,10
241,41,41,1,1
242,42,42,2,2
243,43,43,3,3
244,44,44,4,4
245,45,45,5,5
246,46,46,6,6
247,47,47,7,7
248,48,48,8,8
249,49,49,9,9
250,50,50,10,10
251,51,51,1,1
252,52,52,2,2
253,53,53,3,3
254,54,54,4,4
255,55,55,5,5
256,56,56,6,6
257,57,57,7,7
258,58,58,8,8
259,59,59,9,9
260,60,60,10,10
261,61,61,1,1
262,62,62,2,2
263,63,63,3,3
264,64,64,4,4
265,65,65,5,5
266,66,66,6,6
267,67,67,7,7
268,68,68,8,8
269,69,69,9,9
270,70,70,10,10
271,71,71,1,1
272,72,72,2,2
273,73,73,3,3
274,74,74,4,4
275,75,75,5,5
276,76,76,6,6
277,77,77,7,7
278,78,78,8,8
279,79,79,9,9
280,80,80,10,10
281,81,81,1,1
282,82,82,2,2
283,83,83,3,3
284,84,84,4,4
285,85,85,5,5
286,86,86,6,6
287,87,87,7,7
288,88,88,8,8
289,89,89,9,9
290,90,90,10,10
291,91,91,1,1
292,92,92,2,2
293,93,93,3,3
294,94,94,4,4
295,95,95,5,5
296,96,96,6,6
297,97,97,7,7
298,98,98,8,8
299,99,99,9,9
300,100,100,10,10
301,1,1,1,1
302,2,2,2,2
303,3,3,3,3
304,4,4,4,4
305,5,5,5,5
306,6,6,6,6
307,7,7,7,7
308,8,8,8,8
309,9,9,9,9
310,10,10,10,10
311,11,11,1,1
312,12,12,2,2
313,13,13,3,3
314,14,14,4,4
315,15,15,5,5
316,16,16,6,6
317,17,17,7,7
318,18,18,8,8
319,19,19,9,9
320,20,20,10,10
321,21,21,1,1
322,22,22,2,2
323,23,23,3,3
324,24,24,4,4
325,25,25,5,5
326,26,26,6,6
327,27,27,7,7
328,28,28,8,8
329,29,29,9,9
330,30,30,10,10
331,31,31,1,1
332,32,32,2,2
333,33,33,3,3
334,34,34,4,4
335,35,35,5,5
336,36,36,6,6
337,37,37,7,7
338,38,38,8,8
339,39,39,9,9
340,40,40,10,10
341,41,41,1,1
342,42,42,2,2
343,43,43,3,3
344,44,44,4,4
345,45,45,5,5
346,46,46,6,6
347,47,47,7,7
348,48,48,8,8
349,49,49,9,9
350,50,50,10,10
351,51,51,1,1
352,52,52,2,2
353,53,53,3,3
354,54,54,4,4
355,55,55,5,5
356,56,56,6,6
357,57,57,7,7
358,58,58,8,8
359,59,59,9,9
360,60,60,10,10
361,61,61,1,1
362,62,62,2,2
363,63,63,3,3
364,64,64,4,4
365,65,65,5,5
366,66,66,6,6
367,67,67,7,7
368,68,68,8,8
369,69,69,9,9
370,70,70,10,10
371,71,71,1,1
372,72,72,2,2
373,73,73,3,3
374,74,74,4,4
375,75,75,5,5
376,76,76,6,6
377,77,77,7,7
378,78,78,8,8
379,79,79,9,9
380,80,80,10,10
381,81,81,1,1
382,82,82,2,2
383,83,83,3,3
384,84,84,4,4
385,85,85,5,5
386,86,86,6,6
387,87,87,7,7
388,88,88,8,8
389,89,89,9,9
390,90,90,10,10
391,91,91,1,1
392,92,92,2,2
393,93,93,3,3
394,94,94,4,4
395,95,95,5,5
396,96,96,6,6
397,97,97,7,7
398,98,98,8,8
399,99,99,9,9
400,100,100,10,10
401,1,1,1,1
402,2,2,2,2
403,3,3,3,3
404,4,4,4,4
405,5,5,5,5
406,6,6,6,6
407,7,7,7,7
408,8,8,8,8
409,9,9,9,9
410,10,10,10,10
411,11,11,1,1
412,12,12,2,2
413,13,13,3,3
414,14,14,4,4
415,15,15,5,5
416,16,16,6,6
417,17,17,7,7
418,18,18,8,8
419,19,19,9,9
420,20,20,10,10
421,21,21,1,1
422,22,22,2,2
423,23,23,3,3
424,24,24,4,4
425,25,25,5,5
426,26,26,6,6
427,27,27,7,7
428,28,28,8,8
429,29,29,9,9
430,30,30,10,10
431,31,31,1,1
432,32,32,2,2
433,33,33,3,3
434,34,34,4,4
435,35,35,5,5
436,36,36,6,6
437,37,37,7,7
438,38,38,8,8
439,39,39,9,9
440,40,40,10,10
441,41,41,1,1
442,42,42,2,2
443,43,43,3,3
444,44,44,4,4
445,45,45,5,5
446,46,46,6,6
447,47,47,7,7
448,48,48,8,8
449,49,49,9,9
450,50,50,10,10
451,51,51,1,1
452,52,52,2,2
453,53,53,3,3
454,54,54,4,4
455,55,55,5,5
456,56,56,6,6
457,57,57,7,7
458,58,58,8,8
459,59,59,9,9
460,60,60,10,10
461,61,61,1,1
462,62,62,2,2
463,63,63,3,3
464,64,64,4,4
465,65,65,5,5
466,66,66,6,6
467,67,67,7,7
468,68,68,8,8
469,69,69,9,9
470,70,70,10,10
471,71,71,1,1
472,72,72,2,2
473,73,73,3,3
474,74,74,4,4
475,75,75,5,5
476,76,76,6,6
477,77,77,7,7
478,78,78,8,8
479,79,79,9,9
480,80,80,10,10
481,81,81,1,1
482,82,82,2,2
483,83,83,3,3
484,84,84,4,4
485,85,85,5,5
486,86,86,6,6
487,87,87,7,7
488,88,88,8,8
489,89,89,9,9
490,90,90,10,10
491,91,91,1,1
492,92,92,2,2
493,93,93,3,3
494,94,94,4,4
495,95,95,5,5
496,96,96,6,6
497,97,97,7,7
498,98,98,8,8
499,99,99,9,9
500,100,100,10,10
501,1,1,1,1
502,2,2,2,2
503,3,3,3,3
504,4,4,4,4
505,5,5,5,5
506,6,6,6,6
507,7,7,7,7
508,8,8,8,8
509,9,9,9,9
510,10,10,10,10
511,11,11,1,1
512,12,12,2,2
513,13,13,3,3
514,14,14,4,4
515,15,15,5,5
516,16,16,6,6
517,17,17,7,7
518,18,18,8,8
519,19,19,9,9
520,20,20,10,10
521,21,21,1,1
522,22,22,2,2
523,23,23,3,3
524,24,24,4,4
525,25,25,5,5
526,26,26,6,6
527,27,27,7,7
528,28,28,8,8
529,29,29,9,9
530,30,30,10,10
531,31,31,1,1
532,32,32,2,2
533,33,33,3,3
534,34,34,4,4
535,35,35,5,5
536,36,36,6,6
537,37,37,7,7
538,38,38,8,8
539,39,39,9,9
540,40,40,10,10
541,41,41,1,1
542,42,42,2,2
543,43,43,3,3
544,44,44,4,4
545,45,45,5,5
546,46,46,6,6
547,47,47,7,7
548,48,48,8,8
549,49,49,9,9
550,50,50,10,10
551,51,51,1,1
552,52,52,2,2
553,53,53,3,3
554,54,54,4,4
555,55,55,5,5
556,56,56,6,6
557,57,57,7,7
558,58,58,8,8
559,59,59,9,9
560,60,60,10,10
561,61,61,1,1
562,62,62,2,2
563,63,63,3,3
564,64,64,4,4
565,65,65,5,5
566,66,66,6,6
567,67,67,7,7
568,68,68,8,8
569,69,69,9,9
570,70,70,10,10
571,71,71,1,1
572,72,72,2,2
573,73,73,3,3
574,74,74,4,4
575,75,75,5,5
576,76,76,6,6
577,77,77,7,7
578,78,78,8,8
579,79,79,9,9
580,80,80,10,10
581,81,81,1,1
582,82,82,2,2
583,83,83,3,3
584,84,84,4,4
585,85,85,5,5
586,86,86,6,6
587,87,87,7,7
588,88,88,8,8
589,89,89,9,9
590,90,90,10,10
591,91,91,1,1
592,92,92,2,2
593,93,93,3,3
594,94,94,4,4
595,95,95,5,5
596,96,96,6,6
597,97,97,7,7
598,98,98,8,8
599,99,99,9,9
600,100,100,10,10
601,1,1,1,1
602,2,2,2,2
603,3,3,3,3
604,4,4,4,4
605,5,5,5,5
606,6,6,6,6
607,7,7,7,7
608,8,8,8,8
609,9,9,9,9
610,10,10,10,10
611,11,11,1,1
612,12,12,2,2
613,13,13,3,3
614,14,14,4,4
615,15,15,5,5
616,16,16,6,6
617,17,17,7,7
618,18,18,8,8
619,19,19,9,9
620,20,20,10,10
621,21,21,1,1
622,22,22,2,2
623,23,23,3,3
